  Africa,11483.8,12251.9,13826.9,14622.6,19475.8,19908.5,na,na,12603.8,na,10233.8,6791.1,na,na,2573.8,3615.1,1112.7,724.1,1026.4,1229.3,691.2
    Mauritius,na,na,na,na,na,na,na,2100.3,1604.8,1724.4,1477.5,1431.6,na,1072,526.2,2238.4,328,195.8,149.4,146.9,123.8
  ASEAN,90609.2,87441.1,88203.8,86238.1,84696.6,75937.5,66646,79148.2,90504.2,89540.4,57474.8,62045.8,38798.8,34647.9,62809.2,45462.1,41390.6,36533,26339.3,22932.8,21296.1
  European Union (EU-27),231374.4,237345.1,240732.3,206578.1,205050.2,175894.7,158785.8,147847,150377.3,118196.2,82508.9,106087.9,98047.9,66450.8,112628.5,96436,74759.4,77709.5,81793.8,51588.6,37990
"Singapore's Portfolio Investment Assets - Equity And Investment Fund Shares (Instrument)",1308028.6,1156466.6,1059457.9,863511,877721.9,752008.4,692311,636568.8,592231.9,521340.3,399312.5,381178.3,292762.1,258699.4,372834,273140.4,214149.8,174656.2,150359.6,77674.2,62224.6
  Asia,493288.2,474811.4,414804.2,341398.7,339274.3,302652.8,296544.5,254397.3,218607.3,216597.5,152730,153716.1,126158.1,130134.1,159444.5,116599.6,94091.6,69582.4,51288.5,30608.7,28327
    Mainland China,159595.8,173419.6,133513.3,105869.1,110857.4,91502.7,101467.4,79687.1,69374.5,65426.3,52180.8,49997.3,41956.5,35226.6,24235.9,14201.8,9928.6,4493.6,4219.7,1991.3,1932.7
    Hong Kong,42111.9,34743.1,33033.9,26119.5,27551.9,19927,19175,16505.8,15435.5,13969.4,9074.9,10661.6,8662,15877.6,24770.9,29662.1,22314.4,10420.7,7517.1,4382.9,5708.2
    India,79368.6,63543.8,52638.1,44512.9,46592.4,40389.9,43288,39349.6,23439.9,26147.9,15352.4,19204.9,25523.6,15071.7,25085.6,7677.8,3104.2,2906.1,1803.2,673.7,440.1
    Indonesia,20203.9,15058.6,18164.3,17395.2,13022.3,11629.1,9155.4,9894.7,8319.8,17911.7,6247.2,6010.5,3474.5,2639.7,5832,2433.9,2432.3,2547.5,1363.2,2353,573.5
    Japan,63214.8,65075,71928.4,56895,53335.1,47753.7,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,41315.4,49506.3,37552,34512.5,36633.7,34287.2,31473.6,28011.5,27039.3,27728.6,19784,16254.9,11725.6,11063.8,16155.7,12980.8,11919.5,9422.6,6035.8,2652.8,2049.3
    Malaysia,8141.8,6469.4,7111.5,7801,7963.5,9269,8257,10215.9,10548.1,10059.2,9131,8949.4,5477.4,9265.5,13622.8,10288.6,11888.6,11099.9,7663.9,7426.2,8644.5
    Myanmar,517.2,645.1,581.9,449.2,369.1,621.2,443.7,92.8,na,na,na,na,na,na,na,na,3.7,3.8,8.7,8.7,10.1
    Philippines,4393.8,4621,4003.1,3427.6,3117.2,4608.1,4266.8,3785.5,2374.5,3337.1,1961.6,1601.5,916,871.1,1389.3,955,619.5,664.6,617,488.5,781.1
    Taiwan,na,na,na,22268.7,21980.7,24365.6,20505.2,20107.6,16855.3,16994.3,13481.7,12930.1,8372,6318.9,8341.9,7641.1,6503.2,5074,4337.5,2124.7,1862.4
    Thailand,8355.2,7749.9,9429.7,8999.9,7813.5,8646.8,7257.7,7353.7,10375.2,6784.5,4622.2,4387.8,3000.1,3643.6,5669.7,5792.9,6267.5,5071.2,4331.4,2594.3,2825.7
    Vietnam,5479.5,4077.8,2066.2,3574.5,2542.6,2059.9,1121.8,1494.6,321.9,271,292.7,242.7,592.7,354.9,676.5,271.9,47.5,19.9,11.2,38.6,46.3
  Europe,243561.3,226378.5,218372.2,168827.4,167493.5,141533.6,131040.5,123088.1,128902.7,96206.2,74271.3,73687,57018.2,45668.3,90485.5,62221.2,42951,38566.4,32506.9,18111.3,13264.3
    Germany,15358.8,20545.9,18891.6,15520.3,13765.9,9895.3,8644.2,8050.6,10232.1,11345.1,na,na,na,2692.9,8269.6,4237.5,2865.7,2374.5,1954.9,632.1,796
    Ireland,27376.6,22596.9,20810.5,14118.1,12087.7,9156.5,8696.9,7361.6,7221.7,2428.8,1313.5,1580.6,1395,1054.9,938.2,1156.4,1295.7,992.6,474.4,1209.4,1181.5
    Luxembourg,41911.2,35522.4,30995.9,22494.8,21848.4,17521.2,16655,14643.7,11647.4,8220.1,4426.8,4210.9,3571.2,1489.3,4710.5,4436,1145.3,1232.4,2199.7,1401.4,801.9
    United Kingdom,35382.9,30369.9,30766.1,26372.7,28238.2,25857.2,26568.6,27327.8,28637.7,24679,23572.9,23439.2,16791,21748.4,35033.9,16613.2,16842,15382.5,12224.2,7215.5,5537.7
  North America,359232.2,262480.5,243933.4,196506.1,215844.6,205575.2,182753.7,180687.9,171177.5,na,na,na,na,60684.3,83230.8,66928.5,61354.4,48788.8,51143.3,21742.9,14559
    Canada,15569.8,10327.1,10777.1,8803.9,11914.5,15430.2,10431.3,12031.7,11418.3,na,na,na,na,2864.2,4688.1,3131.5,2500.5,1948.3,2082.1,674.7,331
    United States,337139.3,246697.7,228200.2,184382.7,202772.1,190141.3,172322.4,168656.2,159759.2,133215.4,109621.2,95576.7,68942.1,57820.1,77950,63580.8,58500.6,45408.2,48330.5,20995,14228.1
  Oceania,35725.5,27726.9,21683.3,14998.7,16144.2,17020.8,11382.4,15318.3,17802.8,13992.3,11616.7,13527.5,10544.2,4137.7,13562.8,6443.9,5325.4,5090,4506.3,2356.2,1302
    Australia,34251.6,26216.7,20221.9,14543.4,15543.3,16760.1,11221.8,15000.6,17627.5,13908.2,11360.6,13252.4,10391.1,3927.1,13019.8,6281.5,5286.5,4975.7,4328.7,2203.5,1203.7
    New Zealand,1227.5,1470.4,1385.7,447.7,517.2,170.4,131.7,278,125.3,48.2,86.6,30.1,71.1,94.9,503.3,136.3,26.4,113.6,177.6,152.7,98.3
  South And Central America And The Caribbean,88333.8,95661.3,95432.2,79105.5,75380,65478.8,51765.7,45772.8,43215.7,38405.2,31810.2,27694.9,20018,12515.3,19270.5,14242.8,8016.4,8232.5,6627.5,3595.9,3625.5
    Bermuda,12865.3,8539.4,7975.8,7763.4,8662.3,9438.5,10795.9,9383.6,9580.6,10825.6,7308.3,8479.8,9177.6,5561.4,10337.6,7386.5,5689.2,6161.7,5082.1,3065.7,3291.9
    British Virgin Islands,3144.1,2833.7,1946.3,1290.7,984,602.2,637.2,538.9,376.2,248.1,597,637.9,455.3,435.8,443.3,454.3,415.7,491.4,594.6,61.1,40.2
    Cayman Islands,60877.9,63430.2,53342.5,45748.2,42472.3,28628.4,20482.4,10827.9,7857.8,4688.3,5245.6,4705.4,4385.2,3214,4170.5,4075.2,1305.7,1202.8,506.2,337,249.7
  Africa,9027.7,10798,12684.4,13003.2,15794.1,16300,14155,14434.2,11752.6,10275.8,7817.5,6214.7,2765.8,1755.2,1512.5,2843.3,531.5,449.5,222.1,145.8,98.7
    Mauritius,1406.1,1245.6,947.9,917.9,1566.9,1719.6,2085.7,1824.6,1254.2,1474.3,1196.1,1430.7,na,681.7,214.8,2001.1,308.4,147.3,130.5,114.8,94.3
  ASEAN,45586.4,38623.4,41406.9,41668,34851.2,36850.2,30524.2,32838.2,31944.4,38367.3,22258.4,21659.2,13464.7,17139.5,30465.8,23818.2,22333.8,19918.9,14164.3,13031,12952.7
  European Union (EU-27),138743.8,134586.9,132396.3,95580.7,94708.5,74753.3,66475.3,60743.5,61712.5,52149.8,35877.3,36882.3,31210.8,16487.3,40661.6,25347.4,16119.6,13773,14629.5,7844,5716.5
"Singapore's Portfolio Investment Assets - Debt Securities (Instrument)",954442.5,991904.3,957172.5,837591.4,813412.1,736855.2,676630.2,627674.1,561880.2,459904.2,394951.3,377076.5,360201.3,273272.9,360402,306287,257066.1,246433.9,226378.8,169981.4,145615.5
  Asia,350400.6,410506.7,402719,334283.9,320472.8,246771.1,230448.5,256473.2,249688,200951.1,151460.9,137759.7,113246.1,73185.2,96009,67182.5,51598.1,40351.7,30821.8,29019.3,33159.1
    Mainland China,98063.5,104610.4,65035.7,43620.4,52364.1,32193.8,31913.5,40539.8,21028.3,5270.6,4760,1939.3,2643.1,2480.6,1814.5,1666.8,1795.5,1149.9,1163.8,968.7,1038.5
    Hong Kong,20065.9,21891.6,20277.7,18945.5,19746.6,15827.4,18086.6,23946.3,31038.7,13799.8,9353.9,8473.1,6742.7,6505.8,7115.5,6293.6,5572,3864.8,4243.1,3249,3117.9
    India,24053.9,28764.6,32756.2,29972.4,29719.2,17721.5,28298.2,40023.4,31391.5,42057.9,26737.9,18693.5,10692.5,8224.6,6819.9,3513.2,2090.7,2288.4,1053.6,557,706.7
    Indonesia,18202.7,21584,22202.1,17399.8,21718.8,13923,12246.6,14150.7,11829.5,14429.9,14202,20950.4,11385.2,5003.7,10716.3,8471,6049.1,2603.5,2258.4,1573,880.7
    Japan,90413.2,141421.7,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,61537.6,55223.1,42289.2,31606.9,25852.9,17221.7,19045.4,29299.8,24319.2,29701.5,32523.8,23398.4,32093.8,22495.7,23870.2,13848.5,10841.5,8343.7,8869.4,6245.8,4921.6
    Malaysia,19039.4,17162.7,16804.1,14480.6,15301.2,16648.5,16710.2,22502.8,32923.4,24470.2,12082.6,9901.9,8527.7,8028.1,15626.1,8896.5,9710.4,11580.6,6934.9,5380.7,4034.6
    Myanmar,na,na,na,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Philippines,3463.3,5158.1,na,5893.2,4703.9,4516.4,3467.2,5349.6,9164.6,4095.2,3950.4,3289.7,2488,1940,2111.8,1835.1,1120.3,1079.9,1280.5,1630.3,1766.4
    Taiwan,na,na,na,na,na,263.5,535.7,4467.2,5739.9,5557.9,3340.1,7790.1,4424.7,1864.6,926.2,903,1112.9,2309.3,1018.2,1890.1,797.9
    Thailand,4114.9,4739.9,3869.3,6723.8,7878.6,3733.3,3396.5,3570.6,4234.1,7970.2,4857,5932.1,2689.8,1484.4,2370.9,2185.2,2096.3,1326.8,1653.7,1310.2,1644.1
    Vietnam,na,na,na,na,na,266.1,300,735.5,401.1,195.2,124.4,179.4,238.3,1023.1,1369.8,149.8,55.4,-,-,-,-
  Europe,138917.4,151283.6,151570.9,145620,147689.8,136163.8,119499.6,122093.2,117212.5,98912,73197.5,122898.1,135165.5,104681.2,140470.4,139351.1,112959.9,112138,108915.9,80563.9,60716
    Germany,na,30983,na,na,28738.3,26072.1,25285.9,25033.5,23973.2,19536.4,9894.8,25401.1,18227.5,15086.4,22482.7,21703.9,17202.6,12474,14383.3,16397.6,11211.5
    Ireland,na,na,na,1768.4,2274.3,1586.7,1505.9,1261.5,612,411.6,884.3,1561.3,2394.4,3445.4,4379.6,3653.8,2709.9,2833.4,3283.2,2345.1,1643.7
    Luxembourg,4876.8,7125.1,5463.9,12349.3,13643.1,14922,12425.6,8628.4,14650.9,12884.1,3222.8,8207.2,1443.1,1216.7,1308.6,5686.7,5663.3,4828.9,5477,4250.8,1286.8
    United Kingdom,32087.2,34807.5,30387,25265.7,28167.2,27825.5,22795.3,29057.1,23624.8,28996.9,28017.8,48739.7,63957.1,51540.5,63400.2,62345.6,50420.8,44710.3,38029.1,29030.2,24974.5
  North America,371642,339348.1,320692.1,282564.7,272382.8,281624.5,261405.9,192011,147957.4,114542.9,106221.9,77630.2,66248,54234.9,74960.7,57737.6,56812.9,65163.3,62516.2,39707.7,31347.7
    Canada,14731.6,19572.6,13941.6,12512,15494.1,15127.7,12446.1,6669.3,4547.6,3817.6,3211.5,1951.5,1669.4,1796.4,2604.8,2678.6,2690.6,2434.8,3861.2,3272.7,3053.8
    United States,356910.4,319775.5,306750.5,270052.7,256888.7,266494.8,248959.9,185341.6,143409.8,110725.3,103010.4,75678.8,64578.6,52417.6,72350.2,55059,54122.3,62701.2,58626.8,36432.2,28293.9
  Oceania,25614.6,30464.3,23882.3,22323.2,25648.5,26258.7,21149,22819.1,21697.6,21688.5,23535.6,22957.5,29571.2,25882.2,33655.4,28100.2,23776.5,18607.3,15517.7,14232.8,12562.4
    Australia,24195,29384.8,22130.4,21612.3,25156.8,25370,20222.9,21838.7,21063.3,19764.6,20740,21736.5,28233.6,25131.4,32985.9,26920.3,22890.8,18055.5,14308.7,11874,10402.8
    New Zealand,1399.7,1079.1,1688.8,na,na,na,849.3,901.1,576.8,na,2769.7,1198.6,1337.6,733.1,644.7,1175.9,871.9,551.8,1205.7,2332.9,2133.4
  South And Central America And The Caribbean,50356.3,48486.2,41835.4,42682.5,38381.7,29408.6,25961.1,22455.4,16960.3,15080.5,29807.4,9054.1,7923.9,8238.7,9929.4,9156.4,8840.6,7452.1,5631,3755,5735.2
    Bermuda,na,na,na,1486.2,na,1269.2,999,1032.8,1063.6,690.5,380.9,619.9,119.3,185.2,289.1,198.1,195.6,333.9,193,169,261.8
    British Virgin Islands,16188.5,20587.2,16660.7,20683.4,16718.1,11149.5,9449.5,6164.1,3818.3,1993.8,na,852.7,559.7,575,634.1,596.2,604.4,572.1,398.8,477.4,366.2
    Cayman Islands,17219.9,19789.3,17556.6,16486.5,15288.9,12396.9,10531.3,10022.8,5892.3,6195.9,4328.9,5560.8,5814.8,6310.1,7173.9,7220.3,6947.9,5409.1,4493.4,2463.3,3908.6
  Africa,2456.1,1453.9,1142.5,1619.4,3681.7,3608.5,na,na,851.2,na,2416.3,576.3,na,na,1061.3,771.8,581.2,274.6,804.3,1083.5,592.5
    Mauritius,na,na,na,na,na,na,na,275.7,350.7,250.2,281.5,0.9,na,390.2,311.4,237.3,19.7,48.5,18.9,32,29.4
  ASEAN,45022.8,48817.7,46796.9,44570.1,49845.4,39087.3,36121.8,46310,58559.8,51173,35216.4,40386.6,25334.1,17508.5,32343.4,21643.9,19056.8,16614.1,12174.9,9901.7,8343.4
  European Union (EU-27),92630.6,102758.2,108336,110997.4,110341.7,101141.4,92310.5,87103.6,88664.7,66046.4,46631.6,69205.6,66837,49963.6,71966.9,71088.6,58640,63936.4,67164.3,43744.5,32273.6
"Singapore's Portfolio Investment Assets - Short-Term Debt Securities (Instrument)",81041.4,97939.3,108575.2,103058.2,113788.2,95363.4,113862,153479.9,150484.4,101009.8,80044.7,68301.9,53984.5,54860.8,72774.4,67331.3,54426.2,52602.6,42334.7,33262,32361.8
  Asia,39716.9,48905.3,68345.9,53879.3,73098.1,41076.1,44874.3,102477.8,112492.3,67783.5,48646.3,22683.9,12075.4,8016.2,11758.5,7229.7,8322.9,8475.6,4555.1,1368.5,4734.4
    Mainland China,11372.1,14678.2,14631.1,15314.7,20459.4,9374.7,11033,21816.3,10933.7,1282.7,272,157.7,14.4,188.2,16.6,53.8,17.7,68,95.6,38.6,48.7
    Hong Kong,1646.2,2157.9,2482.6,2920.4,5292.3,2441.1,4549.1,10049,19603,6344.9,2270.2,1754.8,43.3,172.9,168.9,197.4,109,219.6,267.1,88.3,509.2
    India,880.3,880.2,4218.3,2774.1,811.1,1004.6,2819.6,16576.8,20866.6,18035.8,11751.9,2235.2,695.4,2291.6,548.7,472.3,130.5,661,457.6,117.8,9.3
    Indonesia,1326.8,1345.9,3417.1,2503.9,5496.2,2372.8,1359.3,3656.8,3668.2,2019.6,3916.7,4344.6,1245.2,153.8,2031.6,2296.3,2475.4,1348,251.4,72.1,187.6
    Japan,15790.3,19320.4,30889.5,15066.5,19984.8,17478.4,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,5563.4,6744.4,8183.5,5463.8,10689.9,2291.2,2858.3,14804.9,6212.6,8382.8,9993.3,3507.5,2837.4,2936.4,1758.1,654.9,629,402.2,379.3,253.4,287.1
    Malaysia,1407.2,1652.6,2167.3,3770.5,3942.7,3032.6,2982.8,11035.2,19956.3,12779.2,2482.1,535.4,294.5,1620.8,6649.2,2118.8,2892.4,4299.4,2097.5,285.4,119.6
    Myanmar,na,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Philippines,786.9,917.1,na,2174.9,1497.9,1213,214.6,2043,6370.7,2130.7,1670.3,440.7,29.5,133.5,168.4,73.7,21.6,59,83.5,79.4,103.5
    Taiwan,na,na,na,na,na,112.1,183.6,2087.5,2564.4,1944.8,170.6,502.8,179.9,10.8,23.7,2,21.6,128.4,57.9,73.5,46.1
    Thailand,497.4,558.1,222.4,3067.4,4600.2,265.5,413.8,320.1,886.4,3752.7,1680,493.4,375.2,37.7,35.5,52.7,135,195.7,476.8,115.8,192.2
    Vietnam,na,na,na,-,-,3.3,88.2,483.7,80.6,3.6,-,-,47.9,306.1,16.5,-,-,-,-,-,-
  Europe,3330.8,3294.4,3290,5228.8,10484.8,11734.3,13661.8,14977.3,14700,14799.6,16486.8,35983.4,33794.3,40621.3,53540.6,52470.7,40334.9,35953.4,30651.9,25952.1,20742
    Germany,na,698.2,na,na,2059.8,1056.1,2302,1319.2,3331,1547.8,4823,1087.6,597.3,195.2,1825.6,1200.8,696.4,421.3,594.8,2287.3,792
    Ireland,na,na,na,11.3,146.4,236.2,338.4,170.4,107.3,28,29.8,15.5,23.5,467.8,1116.6,781.2,199.2,581.8,256.3,217.5,4.1
    Luxembourg,778,1035.1,1380,1924,3268.4,695.6,1450.9,1020,5754.4,4819.2,1311.5,560.6,83.3,175.3,194.3,515.5,85.1,314.1,296.5,757.3,126.6
    United Kingdom,1558.7,396.2,685.3,421.3,971.7,2277,3078.9,5360,1210.2,706,2756.9,27527.2,29642,35134.9,44584.5,45875.6,35710.1,32236.9,26813.8,21398.4,18141.1
  North America,31342.7,37670.4,29545.2,37695.1,25229.9,36223.9,50646.7,24150.8,12549.9,12799.6,9685.1,7628.2,7036.8,2717.9,3455.8,2794.7,2582.3,5093.8,3235.6,1751.9,1481.8
    Canada,1097.2,1526.3,1570.2,491.9,1066.8,2224.6,2079.3,831.2,1030.6,1208.9,453.9,79.5,64.1,235.2,121.7,127.4,374.4,18.3,71.2,429,200.8
    United States,30245.5,36144.1,27975,37203.2,24163.1,33999.3,48567.4,23319.6,11519.4,11590.7,9231.2,7548.7,6972.7,2482.8,3334.1,2667.3,2207.9,5073,3161.9,1320.2,1281
  Oceania,1647.6,2839.2,2533.4,1297.7,1563.4,3533.7,1641.7,7853.9,9101.2,4952.9,4759,1564.3,810.5,3124.4,3691.6,4618.8,3086.1,2851.2,3687.1,3998.4,3918.4
    Australia,1624.8,2805.3,2474.5,1296,1555,3532.3,1619.8,7706.6,9095.2,4941.6,4729.2,1529.1,699.5,3105.7,3607.4,4400.4,2810.7,2780.5,2928.6,2406,2467.9
    New Zealand,22.8,33.9,58.9,na,na,na,17.1,142.6,1.3,na,27.2,35.3,111,18.7,84.3,218.4,275.4,70.7,755.3,1592.3,1450.5
  South And Central America And The Caribbean,4539.1,4659.1,4523.2,3437,2675.5,2757.3,2873,4012.6,1633.6,560.9,317.7,408.4,148.1,261.6,278.8,174.1,71.5,201.4,134.5,164.9,1485.1
    Bermuda,na,na,na,37.3,na,87.1,4.9,20.2,247.2,53.5,16.1,10.5,-,1.2,2.3,38.2,7.7,7.7,-,-,-
    British Virgin Islands,2261,2299.1,1281,1733,1110.4,965.2,1635.4,924.4,737.1,29.9,na,29.2,27,1.9,0.9,3.2,2.9,16.1,-,10.5,-
    Cayman Islands,2249,2289.7,3232.9,1553.9,1512.2,1578.5,565.7,2303.4,278.8,352.6,45.2,366.7,119.4,240.3,103.4,122.9,60.5,163.9,107.7,90.9,1468.6
  Africa,4.8,16.6,44.4,95.6,431.8,15.8,na,na,2.4,na,85.3,-,na,na,41.1,38.7,1.8,10.9,13.8,2.2,-
    Mauritius,na,na,na,na,na,na,na,-,-,-,-,-,na,-,-,4.2,1.8,10.9,8.5,2.2,-
  ASEAN,4055.7,4513.6,6828.1,11516.7,15536.9,6887.2,5058.7,17538.9,30962.2,20685.6,9749.2,5819.9,1997.3,2251.9,8901.3,4546.8,5526.4,5902.2,2909.9,552.7,602.9
  European Union (EU-27),1717.6,2853.5,2499.7,4608.1,8676.2,8431.9,10029.6,7536.8,12373,13928.1,12740.7,6197,4090.9,5119.9,8518.3,5681.5,4260.8,3507.1,3642.6,4479.6,2568.1
"Singapore's Portfolio Investment Assets - Long-Term Debt Securities (Instrument)",873401.1,893965,848597.3,734533.2,699623.9,641491.8,562768.2,474194.2,411395.8,358894.4,314906.6,308774.6,306216.8,218412.1,287627.6,238955.7,202639.9,193831.3,184044.1,136719.4,113253.7
  Asia,310683.7,361601.4,334373.1,280404.6,247374.7,205695,185574.2,153995.4,137195.7,133167.5,102814.6,115075.8,101170.7,65169,84250.5,59952.8,43275.2,31876.1,26266.6,27650.8,28424.7
    Mainland China,86691.4,89932.2,50404.6,28305.7,31904.7,22819.1,20880.4,18723.6,10094.6,3988,4488,1781.5,2628.6,2292.5,1797.9,1613,1777.8,1081.9,1068.1,930.1,989.8
