,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Fixed Capital Formation (GFCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Fixed Capital Formation In Chained (2015) Dollars, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 11/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
  Construction & Works (Public Sector),3740.6,4197.9,3799.7,3859.5,4177.6,4187.3,3612.7,2244.4,2114.7,5572.8,4976.9,4650.4,4542.6,5233,4636.5,4647.7,4426.2,5226.5,5043.6,4691.5,4584.4,5151.3,4753.7,4984.3,5326.9,4859.4,4798.1,4238.8,4410.1,4245,4092.7,4070.5,3853.1,4530.7,3909.8,3735.7,3393.5,3943.7,3798.6,3653.7,3413.8,3850.8,3487,3330.2,3194,3578.6,3317.9,3145,2904.3,3010,2827.2,2591.6,2322.4,2487.9,2293.7,2215.3,1870.1,1954.1,1784.5,1708,1529.3,2019.8,1795.4,1769.5,1559.4,2172.4,2000.8,1883.4,1823.7,2594.6,2187,2285.2,1974,2617.7,2682,2737,2322.7,2582.7,2538.5,2634,2412.1,3047.8,3081,3216.5,3296.8,3464.6,3398.2,3147.1,2717.4,3005.2,3076.7,3047.7,2896,3293.7,3163.7,3045,2883.2,2792.7,2917.5,3104.4,2707.8,2397.8,2466.7,2321.5,2023.1,2049.6,2095.6,1913.2,1783.4,1707,1936.5,1892.9,1690.9,1726.9,1664.6,1626.4,1538.8,1431.7,1608.4,1311,1267.9,1329.8,1448.8,1267.1,981.2,1056.1,1150.1,937.8,897.5,981.4,1213.6,935.3,832.3,951.8,1116.4,1083.1,1144.4,1247.1,1543.2,1708.8,1734.9,1826.7,2046.6,2054.5,1996.9,1792.5,1775.6,1920.2,1853.6,1882.2,1989.4,2062.5,2107.8,2147.7,2109.9,1891.1,1940.5,1676.9,1567.3,1490.1,1311.4,1161.1,1159.5,990,985.5,943.6,934.9,910.3,896.7,874.4,800.3,739.3,727.5,754,816.5,739.3,754,731.9,777,847.2,831.4,816.1,732.6,798,841.4,714.9,718.7,656.6,609.8,473.7
    Residential Buildings (Public Sector),851.2,958.1,779.2,717.3,880.3,920.1,889.8,585.1,273.9,1013.2,1036.9,985.3,1039.9,1047.2,1091.8,1144.8,1117.1,1064.5,1098.6,1098.8,1044.1,1103.2,1022.3,1336.9,1403.5,1363.7,1470.2,1433.6,1478.5,1395.1,1437.1,1417.4,1421.1,1293.6,1384.3,1359.3,1253.2,1188,1267.4,1105.9,1034.2,1082.5,907.7,883.5,925.5,927.2,980.7,911.9,859.8,788.6,794.9,676.3,614.9,579,582.4,536.7,456.9,390.4,447.6,397.3,392.7,389.9,403.7,381.3,340.9,360.8,363.9,366.3,383.7,387.3,424.2,436.3,392.5,473.6,466.9,455.4,472.2,496,578.6,622.7,585.4,576.3,731.9,717.6,803.4,821.3,990,1049.7,1055.9,950.6,1211.9,1249.8,1264.1,1215.1,1437.7,1438.2,1380.3,1246.7,1391.7,1379.6,1246,1092.1,1184.5,1098.8,967,927,963.7,882.5,771.7,664.4,843.7,852.9,810.7,830.2,873,893.3,792.9,721.2,758.6,627.9,546.5,510.7,561.2,517.7,413.4,374.3,441.9,340.9,321.2,363.2,423.8,337.9,356.9,365.9,464,389.4,434.3,420.2,575.4,615.5,623.5,630.8,719.2,790,806.8,831.6,808.1,934.2,1016.9,1095.9,1129.6,1170.5,1350.1,1341.4,1335.6,1200.7,1218,956.9,882.6,793.5,660,546,496.4,404.7,409.7,358.6,371.5,328.5,394.2,359.8,297.6,303.7,378.2,338.7,349.7,348.3,386.8,355.4,373.1,427.3,455.1,399.4,333.6,336.1,374.6,321.5,307.8,282,291.1,250.6
    Non-Residential Buildings (Public Sector),1072.7,1380.1,1202.1,1232.9,1270.9,1336,1060.2,706.3,652.5,2171,1702.3,1519.4,1269.9,1755.1,1401.4,1384.9,1232.9,1739,1621.6,1620,1579.2,1911.8,1724.8,1590.5,1469.3,1258.1,1114.9,1089.5,1008.9,1176.3,1052,1054.6,996.2,1301.3,975.3,860.7,764.4,1157.7,887.9,1043.7,725.7,1195.9,890.4,868.5,858.3,1128.7,778.4,700.2,587.2,716.5,554.9,595.3,561.6,572.1,588,613.5,460.6,734.6,588.7,582.4,499.8,856.6,614.3,616.9,612.3,954.6,858.1,809.7,758.5,1078.1,948.9,938.3,823.9,1234.6,1220.8,1229.3,950.9,1114.8,1027.9,926.1,877.4,1229.4,1132.8,1100.5,1086.5,1191,1115.5,1031.2,847.9,1103.2,993.6,909.7,845.5,1206.1,891,800,747.6,767.3,856.3,847.4,748.3,651.5,619.2,644,530.8,584.8,550.2,541.3,555.5,480.3,564,496,404.5,401.4,390.5,372.4,355.9,341.1,348.5,287.7,301,390.3,388,290.1,245.3,296.5,309.5,296.9,277,248.1,300.6,258.9,225.3,230.3,244.5,227.3,197.3,269,239.8,258.3,272.8,301.7,318.7,370.3,397.5,369.2,382.3,427.6,337.4,357.2,430.2,457.2,410.8,445,436,400.3,385.8,368.3,380.3,341.8,307.3,331,323,276.6,282.8,274.3,237.2,255.4,198.4,214,211.8,210.9,155.6,191.4,202.8,165.8,166.9,153.7,164,174.7,162.1,176.1,177.5,192,192.5,198.6,189.2,170.5,132.7,100
    Other Construction & Works (Public Sector),1809.4,1851.6,1814,1905,2021.5,1926.5,1664.2,955.1,1180.2,2377.9,2232.7,2141.8,2233,2423.2,2145.1,2122.5,2082.1,2415.8,2320.9,1971.8,1959.8,2134.3,2006.6,2056.9,2454.2,2237.7,2213.2,1715.5,1922.5,1673.6,1603.3,1598.3,1435.5,1936.2,1550.1,1515.8,1376.1,1597.3,1638.6,1503.7,1653.5,1575.2,1695.1,1582.8,1408.9,1529.5,1556.3,1531.5,1455.2,1508.4,1479.5,1323.5,1149.1,1341.2,1128.4,1070,956.6,833.6,753.4,732.6,641.4,777.4,781.8,775.3,609.9,860.4,782.6,711.8,686.8,1130.7,819.5,915.6,763.3,913.4,995.8,1051.2,909,978.9,950.2,1106.9,971.3,1247.8,1242.3,1419.5,1436.9,1481.1,1353.8,1129.6,876.8,1006.7,943.8,962,857.5,946.8,914.5,883.4,827.6,849.7,740.5,956.9,781.5,715,725.5,636.3,576.1,588.3,631.4,534,499.8,609.3,576.4,590,514.7,535.3,435.2,391.9,422.5,400.4,539.9,426.2,453.4,465.5,540,494.1,348.3,416.6,430.9,326.7,325.2,398.7,522.7,364.3,275.5,383.3,437.3,498.9,546.4,597,774.5,888,892.3,952,1072.9,953.6,847.3,634,623.5,598.1,536.2,464.9,463.3,469.5,388.7,402.2,380.4,327.9,375,376.7,327,372.5,356.1,290,342,308.3,293.3,307.3,324.7,321.1,306.9,300.5,287.4,225.8,202.6,227.6,265.6,230,208.9,228.6,245.9,253.7,225.8,247.7,225.8,271.9,278.3,199.4,224.5,206.7,190.7,129.1
  Transport Equipment (Public Sector),103.7,111.3,145.4,147.8,115.1,138.8,106.7,84.6,108.2,118.8,85.9,82.9,89,125.1,158.8,96.1,88.6,84.1,183.7,121.9,126.8,806.1,207.4,377.5,199.4,200.7,133.4,114.4,113.6,93.4,81.7,75.9,69.2,79.5,44.3,20.4,16.4,34.7,32.8,27.4,19.7,7.7,7.2,8.6,5.3,40.5,32.7,20.6,15.2,14.9,99.3,3.7,53.3,2.3,10.2,24.3,20.7,23.4,18.1,21.9,18,27.3,29.2,22.9,15.3,20.2,12.2,8.9,5.9,6.1,7.1,7.6,7.8,12.8,30.6,16.9,11.4,11,19.2,62.4,41,58.1,50.5,48,38.6,20,13.5,20.4,12.1,8.7,6.7,8.4,4.2,21.1,38.9,8.1,11.4,25.2,8.3,23.7,2.7,5,7.6,10.6,14.8,17.9,18,65.7,64,46.4,27.6,18.4,7.6,8.5,7.9,11.2,14.7,7.9,6,3.7,4.1,7,4.1,3.7,2.6,9.7,6.2,4,7,7.3,6.1,22.4,84.8,13.6,62.4,50.3,39.9,56.8,69.7,51.4,52.2,38.5,9.8,6,10.4,9.7,7.2,4.9,6.1,6,5.5,10.8,11.8,4.4,8.2,4.7,3,4.2,5.8,1.9,2.5,8.8,11.1,23.4,4.3,13.4,11.5,7.7,1.6,4.8,3.5,2.6,2.1,6.8,2.8,1,2.1,7.3,5.5,6.7,4,4,5.7,8.6,4.7,6.4,5,4.8,4.8,4.8
  Machinery & Equipment (Public Sector),310.4,728.9,274,367.2,392.1,684,209.2,178.5,288.3,520.6,340.7,398,219.9,626.8,265.1,438.9,277.7,880.7,369.9,308.8,283.2,621.3,305,291.5,336.7,590.4,578.4,347.3,298.1,495.5,232.9,224.1,200.7,438.5,253.8,254.3,185.1,313.6,322,271.4,250.4,339.2,300,254.5,160.4,461.5,205,246.3,230.1,459.4,266.6,263.4,236,374.9,203.6,191.3,181.8,302,169.5,115.7,100.2,322.6,120.3,124.6,74.5,360.9,172.5,158.1,119.3,381.1,173.4,181.5,131.5,239.8,144.7,148,99.6,291.9,199.5,126.6,81,247.2,131.5,127.7,126.6,269,160.5,121.3,156,285,129.9,116.5,80.6,304,136,95.5,91.2,148.8,103.7,68.9,55.7,130.9,81,75.2,38.8,181,80.9,244,171.6,126,241.6,216.7,144.6,155.6,217.8,105.4,74.7,71.6,151.4,86.2,117.2,224.5,274.2,221.4,135.7,222.8,258.3,124.9,121,105.3,116.7,78.1,52.9,94.1,86.6,69.1,44.1,122.3,76.4,66,80.5,129.9,120.5,112.5,117.7,122.9,170,148,97.4,80.6,113,92.9,61.2,72.3,86.2,77.1,72.1,96.6,119.6,117.2,102.7,73,79.8,50,31.7,53.8,51.9,52.6,30.5,67.3,54,31.7,23.8,50.3,111.2,84.5,54.2,114.5,60.8,62.9,71.1,67.7,56.2,64.5,61,42.7,55.8,42.9,43,43
  Intellectual Property Products (Public Sector),654.1,632.5,640.9,651.3,634.9,609.3,604.6,615.4,581.8,553,544,544.3,527.7,510.8,501.5,504.3,500.4,485.4,480.7,507.6,501.4,486.1,466.9,494.6,505.7,494,467.7,470.8,472.6,439.4,434.5,418.7,407.9,393.7,372.6,412.4,368.6,392.8,367.8,397.2,398.2,376.7,371.3,376.4,365,370,355,375.4,373.9,358.7,384.9,403.8,398.4,372.3,308.2,313.5,290,306.2,301.5,304.6,291.8,303.8,299.1,316.7,303.2,315.9,338.4,354,355.7,380,373.6,388,386.6,401.8,425.7,435.1,417.1,393.8,386.8,365,356.4,330.5,295.3,279.8,275,245.2,240.1,250.6,252.6,242.1,244.1,246.8,247.1,241.3,246,254.8,248.2,232.4,232.3,229,221.7,218.7,210.1,201,197.1,188.4,172.8,160.4,157.5,153.5,153.3,151.3,147.4,141.5,137.7,140.1,137.5,134.2,137.5,137,135.2,129.5,122.3,123.7,119,109.9,106.5,103.9,98.4,93,75.2,67.8,63.1,62.8,72.7,75.8,74.1,68.7,57.3,53.5,49,45.5,42.1,37.5,36.7,39.9,44.8,45.1,45.1,41.9,33.5,28.4,25.7,23,19.8,17.5,17.9,18.8,21,23.3,23.1,21.4,17.2,16.3,16,15.9,17,16.7,16.7,16.1,16,15.9,15.7,15,15.2,14.8,14,12.6,11.2,10,8.9,7.9,7,6.3,5.6,4.9,3.9,3.1,2.4,1.6
Gross Fixed Capital Formation (Private Sector),25695.6,24413.7,25987.8,25532.7,24435.7,23859.8,23937.3,19817,17665.1,21939.5,23924.2,23737.3,24550.1,22135.6,23830.5,22514.2,24487.4,21844.4,26272.2,24495.9,25314.5,21714.1,24736.5,22157.1,23407,21298.8,24299.1,23846.4,23747.7,21661.4,24654.3,23492.8,23043.8,22255.6,22831.4,24247.5,22288.7,21423.5,21884.7,21106.4,20696.9,20941.7,19925.1,21330.9,19654.4,16818.3,19104.2,18393.1,18235.2,17625,18232.1,17451.9,18166.4,16080.9,16666.9,17030.7,17747.9,16889.7,18449.5,14831.5,15113.9,13764.8,15022,13545.6,12269.7,11567.9,13051.4,11627.1,10950.9,10216.6,10500.6,11749.2,11124.8,9889.4,9576.9,9357.8,9136.8,9046.8,9732,9689.3,10393.7,9771.5,10420.2,11013.8,10614.2,11049,11520.9,13047.8,11045.6,11330.3,10420.8,11216,10172.7,9122.6,10085.1,11091.8,10860,12052.5,13422.3,12627.9,11262.9,10791.9,12376.4,10197.4,11536.3,10419,10527.8,8522.1,8001.4,7735.4,8068.8,7617.4,7293.3,7267.2,7522.5,7083.8,7016.8,6641.3,7064.5,6489.3,6327.4,5752.7,5234.9,5660.3,6138.2,5338.5,4981.7,5413.6,4919.3,4929.2,5030.3,4544.5,4134.9,4518.9,3921.5,4156.6,3387,3117.3,3311.3,3060.5,2616.3,2696.7,2500.8,2824.6,2297.7,3050.7,3112.6,3167.8,3078.1,4298.3,4274.9,3689.7,4098.8,4004.4,3626.8,3782,3963.4,3191,3390.5,3591.6,3390,3614.4,3511.1,3204.5,2934.4,2533.3,2686.4,2630,2758.9,2323.9,2393.9,2538.8,2109.1,1584.2,1910.4,1581,1686.9,1647,1628.7,1547.2,1381.4,1181.4,1263.3,1521.3,1427.6,1618.3,1426.4,1372.7,1536.9,1644.4
  Construction & Works (Private Sector),7134.3,6839.6,7447.2,7552.3,7180.1,7051.6,6815.7,4363.4,3516.3,7049.2,7746.8,7521,7451.7,6949.9,7367.7,7271.7,7564.7,7230.1,7581.1,7606.1,7762.8,7952.4,8838.1,9167.2,9439.6,9552.9,10020.9,10447.9,9976.4,9565.2,10174.5,10079.3,10296.4,9878.5,11005.5,10791.7,10797.7,9817.6,10527.9,10066.4,9984.1,9077.8,9821.4,9501.4,8948.6,8364,9281.9,8889.8,9177.4,8549.5,10024,9295.1,8865.7,8530.2,9113.5,8562.5,7696.2,7220.7,7945.1,7191,6497.3,5977.4,5581.9,5547.1,5057.1,4603.5,5040.2,4699.2,4236.2,4016.2,4283.2,4022.1,4111.8,4168.6,4229.6,4151.2,4105.2,4100.9,4973.5,4887,4925.2,5051.1,5415.6,5843.5,5319.1,5441.4,5878,6171.1,5731.4,5277.8,5497.6,5201.2,4954.4,4969.9,5842.5,6411.6,6459,6541.5,7619.6,7006.3,6247.1,5819.4,6155.2,6042.1,6131.5,5638.4,5466.7,4922.8,4437.4,4126.9,4570.2,4283.6,3594.6,3859.1,3678.6,3565.7,3233.1,3282.9,3614.9,3484,3208,3031.8,3015.1,2651.9,2416.5,2367.6,2188.5,2029.1,2029.3,2220.1,2044.1,1981.6,1946.2,1909.5,1867.7,1810.4,1541.8,1446.8,1355.4,1387,1324.8,1101.3,1265.3,1233,1485.8,1601.7,2130.9,2295.6,2433.6,2864.2,2925.4,3072.5,3134.2,2922.3,2914.3,2795.5,2588.8,2437,2397.7,2160,2026.4,1990.2,1966.3,1668.2,1308.2,1073.7,1177.5,1067.3,1076.7,943.6,998.3,861.1,872.9,773.7,751,660.4,690.7,636.6,624.9,617.6,577.5,553,625.3,673.3,612.5,623.6,705,696.7,662.1,651
    Residential Buildings (Private Sector),3789.6,3477.7,3765.1,3801.5,3819.3,3592.4,3445.1,2306.3,1612.4,3311.5,3667.4,3510.4,3289.6,3104.6,3255.6,3421.5,3449.7,3433.1,3885.6,3963.4,3975.9,4162.1,4601.1,4701.8,4870.5,4885.2,5290.8,5691,5570.8,5436.5,5727.5,5618.4,5849.9,5560.1,6280.9,5932.2,5942.6,5502.2,5845,5739.2,5408.8,4881.3,5142,5042.2,4966.2,4884.1,5251.7,5116.2,4910.1,4415.6,4452.7,4005.3,3698.3,3504.7,3910.4,3778.4,3506.1,3191.4,3249.6,3070.5,3017.1,2802.4,2548.4,2529.4,2408.2,2317.8,2438.3,2527.8,2361.4,2212,2529.3,2569.7,2683,2714.8,2954.3,2797.7,2604.1,2765.8,3221.4,3063.7,3036.7,2991,3056.7,3112.7,2903.6,2823.1,3042,3237.4,3133.1,3074,3312.7,3242.4,3017.8,3081.8,3564.5,3781.2,3778.9,3754.1,4340.5,4199.7,3652.6,3317.3,3374.7,3491.9,3453.9,3027.4,2900.5,2785.8,2278.8,2178.4,2250.3,1966.6,1814.6,1954.9,1849.9,1604.5,1450.6,1419.8,1591,1484.3,1300.5,1269.4,1243,1192.4,1116.3,1206.8,1142.8,1036.7,975.9,1099.4,1049.5,1047.7,1032,1078.8,1196.5,1151.6,993.3,926.6,829,849.9,921.6,707.6,814.2,815.6,993.3,924.7,1274.8,1414.1,1510.1,1747.6,1773.9,1857.4,1884,1575.9,1522.1,1388.7,1256,1096.3,1020.9,866.7,759.1,589.2,607.6,496.4,424.9,321.7,367.5,297,367.5,274.3,304.2,250.5,307.4,300.6,299,298.3,330.6,303.6,425,442.6,394.1,365.2,421.8,493,397.9,433.2,442,486.7,405.5,386.6
    Non-Residential Buildings (Private Sector),2962.5,2946,3242.8,3195.7,2891.9,2992,3026.5,1812.1,1693.4,3208.5,3644.2,3507.7,3608.7,3344.3,3637,3357.9,3583.4,3165.2,3147.1,3173.2,3268.3,3277.7,3619.3,3955.4,3996.1,4005,4069.2,4136.1,3792.7,3509,3858.3,3927.6,3923.1,3792.7,4315.3,4365.7,4393.3,3871.7,4134,3918.4,4191.6,3794.4,4227.5,3993.3,3569.8,3090.5,3644.2,3380.6,3867.5,3744.8,5022.4,4803,4701.1,4450.1,4585.9,4236.7,3608,3480.6,4106,3676.8,3166,2813.8,2673.5,2547.9,2197.8,1914.2,2269.7,1860.5,1587.5,1485,1594.3,1358.8,1347.2,1342.1,1158,1254.6,1366.2,1215.1,1637.4,1696.7,1716.4,1815.7,2026.6,2361.3,2122,2166.9,2418.5,2611.2,2361.5,1925.4,1974.5,1749.9,1705.5,1624.8,2040.1,2390.6,2457.7,2404.4,2946.2,2614.7,2359.6,2330.8,2544.3,2378.6,2517.7,2456.8,2376.5,2047.4,2074.1,1867.2,2227.8,2134.1,1666.5,1760.4,1708.5,1796.3,1643.3,1649.5,1851.6,1824.6,1788.1,1695.1,1686.8,1397.2,1204.3,1096.5,1003.1,965.6,1024.9,1043.7,873.3,877.3,773.4,762.9,689.7,656.6,572.1,546.7,545.3,562.9,439.9,421.9,478.9,453.6,542.3,681.5,884.8,924.9,976.3,1172.1,1204.6,1268.2,1303.2,1350.6,1370.1,1380,1297.8,1297,1292.6,1221.6,1195.2,1315,1267.5,1100.4,818.1,704,756.7,707.9,673,629.9,653.5,572.4,539.6,456.8,436.1,355.8,358.4,330.8,226.6,198.1,200.7,198.1,203.3,198.6,206.4,179.4,238.5,209.5,235.4,247.4
    Other Construction & Works (Private Sector),368.8,419.9,443.1,558.5,459,468.2,346.6,236.6,226.6,551.4,459.4,529,598.5,539.5,515.7,516.5,564.4,650.2,548,468.9,518.7,511.5,617.7,509.9,573.1,662.7,664.2,621.6,611.6,616.9,586.4,533.8,519.1,523.7,405.2,497.5,463.6,445.5,556.2,408.3,382.8,404.5,450.8,467.8,417.3,398.8,403.2,422.2,388.2,363.1,443.3,379.4,356.7,478,524,456.2,522.4,490.3,491.2,356.7,246.3,307.1,307.6,424.6,419.9,351.1,296.7,299.5,284.4,317.2,161.5,106.7,98.3,130.3,151.9,123.6,149.7,146.5,132.5,137.9,184.2,254.2,336,364.6,288.8,452.9,406.7,307.4,227.6,285.8,218.5,227.9,244.7,284.7,247.4,239.9,218.5,391,330.8,185.8,232.7,160.4,224.1,163.2,145.2,133.4,169.1,77.7,58.2,61,59.4,140.4,96.2,127.5,106.2,125.3,102.2,171.5,128.7,125.3,59.7,14.7,29.9,30.4,74.4,61.6,46.4,24.7,12.3,68.1,123.1,64.1,150.7,91.3,35.5,53,22.1,15,10.6,4.6,19.1,3.9,9.4,5.1,2.5,17.7,11.1,9,5.3,5.8,7.2,9,7.8,9.2,17.8,10.1,14.1,8.8,28.4,16.8,16.2,18.9,27.7,15,25.4,12,16.4,20.3,10.1,5.1,7.9,7.4,6.7,5.7,7.4,6.7,6.2,6.2,5.1,13,13,16.9,33.8,23.7,38.9,47.9,58.1,41.1,50.7,43.4
  Transport Equipment (Private Sector),2127.8,1862.2,1927.2,1676.4,1568.1,1874,2049.6,1049.5,760.8,1757.7,3150.5,3306.9,4085.1,2951.4,3495,2363.3,3726.5,2220.8,5139.2,3356.8,4039.2,1924.2,4746.6,1976.2,2249.4,1186,2969.3,1751.5,2053.7,1665.5,2011.1,1839.3,1333.4,1851.2,1570.5,2507.7,1584.4,2153.8,2148.7,2015.1,1858,3383.5,1587.2,2987,2370.7,1118.5,1940.3,1602,1249.6,2018.9,876.2,1262.3,3282,2087.1,1217,1338.8,2866.4,3424.6,2969.2,760.5,2074.9,1844.5,2168,1210.7,719.4,1606.7,1527.5,1206.4,1257.4,1544.3,778,1851.9,818.6,861.3,706.7,1108.6,1060.3,1478.2,1262.1,1046.5,1288,990.2,1285,1364.2,1126.8,1423.7,813.4,2009.6,779.1,1584.7,1077,2440.6,1532.3,1365.2,1205.3,1788.3,1444.7,2742.9,2396.3,2341.6,1940.1,2236.6,3271.3,1531.3,2357,2148.9,2266.1,1521.1,1227.3,1531.9,1146.9,1251.7,1328.6,1465.5,1614.6,1224.6,1587.7,1652.7,1394.8,1140.6,1395.8,1410.5,642,1257.5,1643.7,1263.1,764.9,1366,994.5,973.4,1097.1,744.6,406.7,1249.8,405.5,874.2,383.6,514.2,712.8,502.9,207.2,771,273.2,762.5,220.9,901,502.7,534.9,272,1084.4,940.3,371,702.6,803.3,529,781.9,1105.5,595.7,656.8,1060.4,833.8,1120.2,817.5,815.9,896.7,718.8,747.1,871.5,1100.2,862.2,897.2,1156.5,724.5,391,792,444.6,630.4,761.4,649.3,667.2,525.4,415.2,273.1,510.8,477.3,633.7,359.4,277.8,294.8,455.3
  Machinery & Equipment (Private Sector),6962.7,6310.3,7243.9,6953.5,6414.5,5865.5,6561.7,5844.5,5084.7,5115.4,5794.5,5645.8,5762.5,5065.4,5880.3,5671.6,5862.1,5081.8,5902.4,5152.8,5490,4509.8,5236.1,5253.9,6059.1,4799.8,5005.2,5082.1,5190.1,4559.1,5593.6,5169.3,5243.4,4516.1,5436.9,5523.8,5191,4773.9,5626.1,5200.1,5127.1,4947.5,5141.3,5384.2,5050.3,4187.9,4906.2,4808.6,4804.2,4264.1,4476.2,4020.2,3390.1,2945,3879,4388.2,4509.1,3636.8,4772.9,4218.3,3933.2,3401.2,4282.5,3908.4,3801.1,2946.9,3928.2,3405.4,3203.5,2562.1,3253,3421.4,3767.1,2906.9,2853.2,2486.8,2454.5,2124.3,2280,2457.1,2715.5,2480.1,2545.4,2669.1,2812.9,2937,3464.5,3499.7,3217.2,3153.4,2756.9,2569.8,2604,2028.1,2307.3,2313.3,2356.8,2383.3,2892.4,2738.7,2501.5,2267.3,2542.7,2207.9,2551.6,2228.4,2322,1798.3,1873.3,1697.6,1915.9,1718.4,1792.9,1597.3,1743.5,1740.3,1646.8,1382.3,1624.1,1491.3,1373.3,1113.4,1259.8,1305,1464.7,1256.1,1395.7,1368.1,1301.5,1253.6,1324.3,1280.1,1257.8,1041.3,1167.8,1070.1,1008.5,836.8,880.9,846.4,786.6,623.6,727.3,661.5,573.2,575.7,633.7,586.8,635.9,702.8,760.5,693.8,721.7,695.6,625.3,635.9,657.4,533.8,610.7,634.9,676.8,689.8,785.6,731,682.4,633.2,672.5,619.7,576.8,503.4,507.6,508.8,477,388,385.2,395.8,360.9,302.2,345.7,300.2,288.9,242.2,320.4,335.7,322.7,350.9,345.1,362.1,443.6,422.4
