,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's International Investment Position (IIP)",,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore International Investment Position, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 31/03/2022,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Million Dollars
    Other Investment,1870046.9,1777646.5,1646953,1624993.5,1530405.3,1483862.7,1453311.2,1390356.1,1309302.9,1251064.2,1251711.4,1215328.4,1137459.8,1233619.9,1208145.1,1023303.7,978218,871205.1,805704.2,776162.6,773165.6
      Trade Credits And Advances,173151.7,149102.1,164074.8,177376.3,184456.6,161376.1,177250.2,185538.9,176719.8,173974.4,171943.3,169376,127976.7,106873.3,119336.1,104954.1,100915.9,101239.8,87245.3,67281.4,50944
      Loans,566798.3,525032,521937.1,501283.2,471311.2,407852.5,415744.7,397430.3,342060.5,291168.3,270971.8,263134.4,238398.1,252771,224269.3,175095.5,170384.6,120411.3,111158.5,104644.5,110123.4
      Currency And Deposits,945832.3,835554.4,772190.5,782355.7,748693.2,758675,703111.7,668372.3,679060,652101.9,652684.4,628333,642107.3,715348.8,760832.4,658038.1,639702.6,598185.2,557990,569027.4,586340
      Insurance Technical Reserves,30589.2,30352.8,30067.2,24869.4,19074.2,18907.9,16292.9,14977.3,10672.7,12936.1,13902.3,12465,8844.7,6839,4451.4,3003.3,2365.6,1567,412.9,460.3,431.1
      Other Accounts Receivable,153675.4,237605.2,158683.4,139108.9,106870.1,137051.2,140911.7,124037.3,100789.9,120883.5,142209.6,142020,120133,151787.8,99255.9,82212.7,64849.3,49801.8,48897.5,34749,25327.1
    Reserve Assets,563338.8,478840.1,375782.5,392095.8,373994,356253.9,350990.8,340438.1,344729.2,316744.2,308403.2,288954.1,263955.4,250346,234545.6,208991.8,192813,183464,163053.5,142621.1,139714.3
      Special Drawing Rights,8503.6,1466.7,1426.1,1434.2,1423.3,1446.4,1717.7,1677.9,1697.7,1641.1,1732.9,1969.8,2205.3,544.1,503.9,487.5,477.2,474.8,352.1,305.8,278.1
      Reserve Position In The IMF,2074.6,2168.5,1632.4,1447.1,1083.3,1441.7,852.6,1084.1,1296.7,1115.8,1080.8,421,375.5,255.8,128.6,200.1,291.2,712.4,956.2,825,692
      Foreign Exchange Assets,552760.6,475204.9,372724,389214.5,371487.4,353365.8,348420.5,337676.1,341734.8,313987.3,305589.5,286563.3,261374.6,249546.1,233913.1,208304.2,192044.6,182276.8,161745.2,141490.3,138744.2
  External Liabilities,5277861,4961775.3,4586813.3,4244391.9,3952056.3,3623604,3439603.8,3260936.9,2939408.5,2647492.4,2499931.7,2342189.5,2087097.3,2160454.9,2178454.5,1713472.6,1539042.7,1342820.2,1205499.9,1141688.5,1141510.8
    Direct Investment,2713226.9,2580789.1,2342142.3,2078001.7,1903040.4,1655824.5,1543357.5,1358654.1,1135746.1,1014603.8,896774.5,815442.7,711286.5,661270.7,607707.2,481258.3,395258.8,353428.7,312893.5,280686.3,257480.9
      Equity And Investment Fund Shares,2372134.2,2204906.9,1968494.6,1742002.4,1557300.2,1337039,1290573.3,1129391.8,952899.5,844676.9,733155.5,677040.2,589053,528564.6,513722.6,405603.8,337177.1,302215.7,265982.5,241803.8,232054.5
      Debt Instruments,341092.7,375882.2,373647.7,335999.3,345740.2,318785.5,252784.2,229262.3,182846.6,169926.9,163619,138402.5,122233.5,132706.1,93984.6,75654.5,58081.7,51213,46911,38882.5,25426.4
    Portfolio Investment,494440.6,416940.3,397168.8,366039.5,373404.6,295368.5,248072.9,274827.5,248067.2,201986.9,166152.6,204855.7,159082.7,119741.1,258074.1,193911.2,141136.8,117972.5,99369.6,77575.6,85306.2
      Equity And Investment Fund Shares,345404.4,307890.3,283550.8,268270.8,284536.1,225275,203933.6,228760.3,207951.9,174705.4,145957.8,182951.5,141883.9,103118,237426.2,172894.4,120935.2,97840.9,81160.6,58787.8,67130
      Debt Securities,149036.2,109050,113618,97768.7,88868.5,70093.5,44139.3,46067.2,40115.3,27281.5,20194.8,21904.2,17198.8,16623.1,20647.9,21016.8,20201.6,20131.6,18209,18787.8,18176.2
    Financial Derivatives,158977.9,182001.8,161768.2,142375.2,101301.6,123850.1,127941,123238.5,100445.8,103442.4,130081.1,118640.8,91223.7,168787.4,97495.2,69551.4,59247.4,0,0,0,0
    Other Investment,1911215.6,1782044.1,1685734,1657975.5,1574309.7,1548560.9,1520232.4,1504216.8,1455149.4,1327459.3,1306923.5,1203250.3,1125504.4,1210655.7,1215178,968751.7,943399.7,871419,793236.8,783426.6,798723.7
      Trade Credits And Advances,139107.2,127223.4,133121.7,144306.7,147442.1,140744.7,143898.2,143958.2,151598.2,150352.1,145918.9,143400.7,111225.9,95436.6,105501.7,83184.4,82355.6,84236.8,70423.8,51730.7,35980.6
      Loans,201162,167905.5,149726.8,143927.1,133793.7,146398.7,127556.1,115500.7,109781.2,93513.7,81532,58114.2,57811.9,52120.6,44703.4,33832.1,33319.1,19837.1,23508.2,25461.3,34574.3
      Currency And Deposits,1333621.7,1220236.5,1218255.6,1226719.9,1178721.8,1128672.9,1121692.9,1138588.3,1099725.5,991308.1,978831.8,915697,876951.2,954634.1,1005759.5,805596,788382.9,727189.8,657929,664756.9,687579.9
      Insurance Technical Reserves,28029.8,27988,27691.3,22791.7,15570.9,15802.5,14763.2,14042.7,12982.6,13871.9,16427,9241.8,5685.7,5057,4228.7,3867.7,3771.3,3475,2959.4,2841.3,2762.1
      Special Drawing Rights Allocation,8503.6,1421.3,1387.1,1410.5,1417.3,1445.8,1462.2,1428.8,1446.8,1399.4,1486.1,1478,1674.1,37.3,37.4,38.2,39.4,41.4,41.5,38.7,38.3
      Other Accounts Payable,200791.3,237269.4,155551.5,118819.6,97363.9,115496.3,110859.8,90698.1,79615.1,77014.1,82727.7,75318.6,72155.6,103370.1,54947.3,42233.3,35531.4,36638.9,38374.9,38597.7,37788.5
,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,
"For more information on international investments position methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/international-investment-position/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,
Net International Investment Position -> External Assets -> Reserve Assets (Million Dollars):,,,,,,,,,,,,,,,,,,,,,
Assets held by the Monetary Authority of Singapore.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,
International Investment Position:,,,,,,,,,,,,,,,,,,,,,
"The international investment position (IIP) is a statistical statement that shows, at a point in time, the value and composition of cross border financial assets and liabilities of residents of an economy. The net IIP is the difference between its external financial assets and its liabilities.  In addition, the sum of the net IIP with the value of non-financial assets reflects the net worth of an economy.",,,,,,,,,,,,,,,,,,,,,
Reserve Assets:,,,,,,,,,,,,,,,,,,,,,
"Show the changes in Singapore’s foreign reserves holdings. They consist of Singapore’s official holdings of monetary gold and foreign exchange assets, as well as Singapore’s special drawing rights and reserve position in the International Monetary Fund.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,
