,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Recruitment and Resignation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Monthly Recruitment Rate By Industry And Occupational Group, (SSIC 2015), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
"Professionals, Managers, Executives & Technicians",1.7,1.3,1.7,1.7,1.5,1.6,1.8,1.9,1.9,1.9,2.1,2.2,1.6,2.2,2.3,2.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Clerical, Sales & Service Workers",2.9,2.4,3.2,3.2,3.1,3.1,3.5,3.8,3.8,3.7,3.8,4,3.1,3.7,3.7,3.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Production & Transport Operators, Cleaners & Labourers",2.2,1.6,2.5,2.5,2.4,2.5,2.6,2.9,3.1,3.1,2.8,2.7,2.3,2.9,3.1,2.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Before 2006, data pertain to private sector establishments each with at least 25 employees. From 2006 onwards, data also include the public sector. 2) Annual figures are computed based on the simple averages of the four quarterly figures in the year. 3) Data are based on SSIC1996(1990-1999), SSIC2005(2000-2005), SSIC2015(2006-current).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total -> Others (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Includes Agriculture, Fishing, Quarrying, Utilities and Sewerage & Waste Management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
