,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Output, Saving and Investment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Output, Saving & Investment At Current Prices, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
  Net Current Transfers From Abroad,-6370.7,-7046.9,-9142.4,-7913.9,-7333,-10732,-7543.7,-8022.5,-7776,-7877.7,-6683.7,-7515.8,-5413.6,-5201.9,-4080.8,-2612.5,-2064.2,-1982.8,-1690.8,-2583.5,-2243.8,-1084,-1366,-1692.2,-1663.3,-1397.6,-1255.9,-1141.5,-975.7,-824.2,-765,-682.1,-574.2,-462.4,-376.5,-358.1,-415.7,-512.7,-543.6,-549.7,-475.9,-335.4,-76.1,-88.4,-108.3,-121.1,-92.3,-95.1,-10.1,6.4,2.8,8.1,-16.8,-13.5,-1.8,-21.9,-46.5,-60.8,-21,-15.2,-18.1,-35.3
Gross Capital Formation,129878,106972.8,126421.6,126067.7,129486.6,116628.9,107356.7,117410.4,115382.2,107913.1,93787.1,90436.9,77291.7,82619.9,62900.3,52850.6,45750.2,44510.5,29302,41546.5,44419.6,58259.6,47812.1,45180.3,56744.9,47576.5,42169.8,37044.3,36429.4,30160,26688.8,25132.7,20882.1,17850.8,16634.4,14949.6,16794.3,19583.1,17678.2,15723.2,13592.6,11648.6,8904,6942.6,5763.1,5940.8,5327.8,5709.8,4045.2,3392.7,2778.1,2244.5,1437.4,1075.2,831.2,729.4,647.7,542.2,487.1,391.2,269.8,244.5
  Gross National Saving,226509.4,187189.8,200457.9,203119.8,211489.4,194358.3,186511.2,189022.4,175834.5,172976.3,171855.6,165424.4,123584.8,123939.7,136919.5,116361.7,95230.6,82057.7,70644.2,66197.5,67640.1,76597.6,72973.2,76445.7,79891.7,67437.1,62702.2,54249.4,43065.8,39695.5,35108.4,30828.4,26690.5,21768.8,16417.4,15682.5,16839,18724.1,16298.7,12838.6,10334.9,8195,7553.3,6128.1,5227.8,4697.4,4078.5,3336.6,2869.8,2085.4,1359.3,1191.4,1025.3,909.7,648.7,571.3,367.1,270.7,124.2,162,-44.4,-46
"  Net Borrowing From/ Lending '-' To Abroad & Net Capital Transfers From Abroad",-96631.4,-80217,-74036.3,-77052.1,-82002.8,-77729.4,-79154.5,-71612,-60452.3,-65063.2,-78068.5,-74987.5,-46293.1,-41319.8,-74019.2,-63511.1,-49480.4,-37547.2,-41342.2,-24651,-23220.5,-18338,-25161.1,-31265.4,-23146.8,-19860.6,-20532.4,-17205.1,-6636.4,-9535.5,-8419.6,-5695.7,-5808.4,-3918,217,-732.9,-44.7,858.9,1379.5,2884.6,3257.7,3453.6,1350.7,814.5,535.3,1243.4,1249.3,2373.2,1175.4,1307.3,1418.8,1053.1,412.1,165.5,182.5,158.1,280.6,271.5,362.9,229.2,314.2,290.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data may not add up to the total due to rounding.  For more information on national accounts methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/national-accounts/publications-and-methodology) to view and download related publications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refer to consumption expenditure incurred by households. Household consumption expenditure is the value of consumer goods and services acquired, used or paid for by a household for the satisfaction of the needs and wants of its members. Non-consumption expenditure such as loan repayments, income taxes, purchase of houses is excluded. The consumption expenditure on owner-occupied accommodation is estimated using the rental equivalence method, which measures the shelter cost in terms of the expected rental the owner would have to pay if he were a tenant of the premises. It is estimated based on the Annual Assessed Values (AAVs) provided by the Inland Revenue Authority of Singapore (IRAS). The imputed rental of owner-occupied accommodation is included when analysing the detailed share of household expenditure by goods and services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Consumption Expenditure:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditures incurred by the general government on consumption goods and services provided to the general public.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Capital Formation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total value of gross fixed capital formation and changes in inventories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Domestic Product:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate value of the goods and services produced in the economic territory of Singapore. The GDP estimates are compiled based on the output (or production), expenditure and income approaches. See Output-based GDP, Expenditure-based GDP and Income-based GDP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross National Income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The aggregate value of the gross balances of primary incomes (incomes arising from the involvement in production processes or ownership of assets) receivable by resident units. See net national income.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income from Abroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary income received by residents of a country from abroad less primary income paid abroad to non-residents. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
