Data Series,Prime Lending Rate
2013-04,5.38
2013-05,5.38
2013-06,5.38
2013-07,5.38
2013-08,5.38
2013-09,5.38
2013-10,5.38
2013-11,5.38
2013-12,5.38
2014-01,5.35
2014-02,5.35
2014-03,5.35
2014-04,5.35
2014-05,5.35
2014-06,5.35
2014-07,5.35
2014-08,5.35
2014-09,5.35
2014-10,5.35
2014-11,5.35
2014-12,5.35
2015-01,5.35
2015-02,5.35
2015-03,5.35
2015-04,5.35
2015-05,5.35
2015-06,5.35
2015-07,5.35
2015-08,5.35
2015-09,5.35
2015-10,5.35
2015-11,5.35
2015-12,5.35
2016-01,5.35
2016-02,5.35
2016-03,5.35
2016-04,5.35
2016-05,5.35
2016-06,5.35
2016-07,5.35
2016-08,5.35
2016-09,5.35
2016-10,5.35
2016-11,5.35
2016-12,5.35
2017-01,5.28
2017-02,5.28
2017-03,5.28
2017-04,5.28
2017-05,5.28
2017-06,5.28
2017-07,5.28
2017-08,5.28
2017-09,5.28
2017-10,5.28
2017-11,5.28
2017-12,5.28
2018-01,5.33
2018-02,5.33
2018-03,5.33
2018-04,5.33
2018-05,5.33
2018-06,5.33
2018-07,5.33
2018-08,5.33
2018-09,5.33
2018-10,5.33
2018-11,5.33
2018-12,5.33
2019-01,5.25
2019-02,5.25
2019-03,5.25
2019-04,5.25
2019-05,5.25
2019-06,5.25
2019-07,5.25
2019-08,5.25
2019-09,5.25
2019-10,5.25
2019-11,5.25
2019-12,5.25
2020-01,5.25
2020-02,5.25
2020-03,5.25
2020-04,5.25
2020-05,5.25
2020-06,5.25
2020-07,5.25
2020-08,5.25
2020-09,5.25
2020-10,5.25
2020-11,5.25
2020-12,5.25
2021-01,5.25
2021-02,5.25
2021-03,5.25
2021-04,5.25
2021-05,5.25
2021-06,5.25
2021-07,
2021-08,
2021-09,
2021-10,
2021-11,
2021-12,
2022-01,
2022-02,
2022-03,
2022-04,
2022-05,
2022-06,
2022-07,
